Frequency (MHz);S21(Log Mag), dB;S11(Log Mag), dB
335.200; -16.31;  -2.58
340.198; -16.05;  -3.04
345.197; -15.94;  -3.27
350.195; -16.00;  -3.15
355.193; -16.24;  -2.72
360.192; -16.51;  -2.22
365.190; -16.74;  -1.83
370.189; -16.85;  -1.62
375.188; -16.80;  -1.59
380.186; -16.59;  -1.79
385.185; -16.27;  -2.20
390.183; -15.90;  -2.83
395.182; -15.63;  -3.51
400.180; -15.54;  -3.96
405.178; -15.62;  -3.83
410.177; -15.85;  -3.21
415.175; -16.09;  -2.48
420.174; -16.27;  -1.93
425.173; -16.35;  -1.65
430.171; -16.30;  -1.63
435.170; -16.15;  -1.90
440.168; -15.93;  -2.45
445.166; -15.70;  -3.19
450.165; -15.54;  -3.97
455.163; -15.46;  -4.34
460.162; -15.48;  -4.02
465.161; -15.58;  -3.20
470.159; -15.69;  -2.36
475.158; -15.81;  -1.75
480.156; -15.88;  -1.49
485.154; -15.85;  -1.53
490.153; -15.75;  -1.88
495.151; -15.56;  -2.50
500.150; -15.31;  -3.34
505.149; -15.03;  -4.15
510.147; -14.77;  -4.45
515.145; -14.62;  -3.93
520.144; -14.59;  -2.93
525.143; -14.76;  -2.02
530.141; -15.01;  -1.48
535.139; -15.30;  -1.27
540.138; -15.47;  -1.38
545.136; -15.52;  -1.77
550.135; -15.42;  -2.40
555.134; -15.16;  -3.19
560.132; -14.85;  -3.91
565.130; -14.51;  -4.17
570.129; -14.30;  -3.68
575.128; -14.22;  -2.80
580.126; -14.35;  -1.92
585.125; -14.54;  -1.39
590.123; -14.75;  -1.17
595.121; -14.85;  -1.27
600.120; -14.86;  -1.63
605.119; -14.73;  -2.22
610.117; -14.50;  -2.97
615.115; -14.20;  -3.69
620.114; -13.94;  -4.06
625.112; -13.76;  -3.74
630.111; -13.73;  -2.86
635.110; -13.86;  -1.96
640.108; -14.06;  -1.33
645.106; -14.23;  -1.09
650.105; -14.34;  -1.11
655.104; -14.35;  -1.43
660.102; -14.22;  -1.98
665.101; -13.98;  -2.80
670.099; -13.65;  -3.72
675.097; -13.32;  -4.27
680.096; -13.06;  -3.99
685.095; -12.93;  -2.96
690.093; -12.98;  -1.85
695.091; -13.18;  -1.06
700.090; -13.42;  -0.69
705.088; -13.58;  -0.69
710.087; -13.61;  -1.04
715.086; -13.46;  -1.73
720.084; -13.14;  -2.69
725.082; -12.71;  -3.77
730.081; -12.26;  -4.40
735.080; -11.98;  -3.87
740.078; -11.91;  -2.54
745.077; -12.14;  -1.27
750.075; -12.49;  -0.48
755.073; -12.85;  -0.17
760.072; -13.07;  -0.33
765.071; -13.13;  -0.83
770.069; -12.98;  -1.68
775.067; -12.64;  -2.81
780.066; -12.18;  -3.99
785.064; -11.75;  -4.41
790.063; -11.46;  -3.46
795.062; -11.37;  -1.86
800.060; -11.48;  -0.62
805.058; -11.69;   0.02
810.057; -11.90;   0.07
815.056; -12.02;  -0.37
820.054; -12.07;  -1.25
825.053; -12.08;  -2.47
830.051; -12.06;  -3.95
835.049; -12.09;  -5.28
840.048; -12.13;  -5.44
845.047; -12.16;  -4.01
850.045; -12.16;  -2.23
855.043; -12.16;  -0.88
860.042; -12.24;  -0.25
865.040; -12.36;  -0.19
870.039; -12.50;  -0.62
875.038; -12.61;  -1.36
880.036; -12.64;  -2.42
885.034; -12.55;  -3.57
890.033; -12.34;  -4.36
895.032; -12.05;  -4.07
900.030; -11.78;  -2.84
905.029; -11.60;  -1.52
910.027; -11.61;  -0.67
915.025; -11.80;  -0.45
920.024; -12.09;  -0.69
925.023; -12.37;  -1.35
930.021; -12.55;  -2.27
935.019; -12.55;  -3.42
940.018; -12.39;  -4.53
945.016; -12.13;  -5.09
950.015; -11.88;  -4.58
955.014; -11.74;  -3.37
960.012; -11.77;  -2.24
965.010; -11.98;  -1.61
970.009; -12.27;  -1.54
975.008; -12.49;  -1.99
980.006; -12.55;  -2.87
985.005; -12.38;  -4.19
990.003; -11.99;  -5.91
995.001; -11.55;  -7.75
1.000.000; -11.21;  -8.23
